Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.12,3.04,4.43,4.99,n,n,n,
1,-0.09,3.21,4.40,4.95,n,n,n,
2,0.17,3.04,4.43,4.99,n,n,n,
3,0.03,3.34,4.94,5.55,n,n,n,
4,0.22,2.76,4.16,4.68,n,n,n,
5,0.14,2.63,4.02,4.52,n,n,n,
6,0.10,2.46,3.65,4.11,n,n,n,
7,0.21,2.71,3.50,3.94,n,n,n,
8,0.19,2.18,2.78,3.13,n,n,n,
9,0.18,2.63,3.22,3.62,n,n,n,
10,0.13,3.10,3.89,4.38,n,n,n,
11,0.12,3.10,3.89,4.38,n,n,n,
12,0.17,3.10,4.09,4.60,n,n,n,
13,0.26,2.65,3.45,3.88,n,n,n,
14,0.26,2.52,3.31,3.72,n,n,n,
15,0.20,3.12,4.12,4.63,n,n,n,
16,0.14,15.34,19.72,22.18,n,n,n,
17,0.28,20.43,25.20,28.35,n,n,n,
18,-0.01,25.02,31.18,35.08,n,n,n,
19,0.20,28.14,35.31,39.72,n,n,n,
20,0.29,30.21,37.97,42.72,n,n,n,
21,0.21,31.71,39.67,44.63,n,n,n,
22,0.01,34.94,44.10,49.61,n,n,n,
23,0.17,42.18,51.94,58.43,n,n,n,
24,0.19,53.49,64.43,72.49,n,n,n,
25,0.16,57.03,68.97,77.59,n,n,n,
26,0.18,60.84,72.98,82.11,n,n,n,
27,0.15,63.17,75.30,84.72,n,n,n,
28,0.04,66.18,78.32,88.11,n,n,n,
29,0.26,69.38,82.32,92.61,n,n,n,
30,0.13,73.59,87.32,98.23,n,n,n,
31,0.10,77.76,91.89,103.38,n,n,n,
32,0.53,83.98,98.71,111.05,n,n,n,
33,0.29,77.21,90.74,102.08,n,n,n,
34,0.29,74.50,87.43,98.36,n,n,n,
35,0.37,71.15,83.49,93.93,n,n,n,
36,0.49,69.16,80.31,90.35,n,n,n,
37,0.37,68.61,79.16,89.05,n,n,n,
38,0.33,70.02,79.97,89.97,n,n,n,
39,0.33,68.86,78.61,88.44,n,n,n,
40,0.33,68.00,76.76,76.50,n,n,n,
41,0.49,56.95,65.11,73.24,n,n,n,
42,0.25,53.46,61.03,68.65,n,n,n,
43,0.50,51.11,57.68,64.89,n,n,n,
44,0.39,47.41,53.97,60.72,n,n,n,
45,0.55,46.08,52.65,59.23,n,n,n,
46,0.44,42.13,48.70,54.78,n,n,n,
47,0.44,39.47,45.25,50.90,n,n,n,
48,0.48,37.18,42.55,44.47,n,n,n,
49,0.16,32.20,37.18,41.83,n,n,n,
50,0.22,29.99,34.97,39.34,n,n,n,
51,0.43,29.11,33.88,38.12,n,n,n,
52,0.37,27.09,30.47,34.28,n,n,n,
53,0.39,25.18,28.56,32.13,n,n,n,
54,0.36,22.61,25.79,29.02,n,n,n,
55,0.64,20.51,23.30,26.21,n,n,n,
56,0.34,18.69,21.27,23.53,n,n,n,
57,0.55,16.56,18.94,21.31,n,n,n,
58,0.35,16.25,18.44,20.75,n,n,n,
59,0.31,16.23,18.42,20.72,n,n,n,
60,0.23,15.15,17.34,19.50,n,n,n,
61,0.49,14.73,16.92,19.04,n,n,n,
62,0.46,14.01,15.81,17.78,n,n,n,
63,0.54,13.27,14.86,16.72,n,n,n,
64,0.37,13.27,14.46,15.83,n,n,n,
65,0.60,12.16,12.76,14.35,n,n,n,
66,0.45,11.83,12.43,13.98,n,n,n,
67,0.56,11.94,12.94,14.55,n,n,n,
68,0.49,10.97,11.57,13.02,n,n,n,
69,0.24,10.53,11.33,12.74,n,n,n,
70,0.29,9.95,10.55,11.87,n,n,n,
71,0.31,9.54,10.13,11.40,n,n,n,
72,0.50,9.54,10.13,11.40,n,n,n,
73,0.47,8.90,9.90,11.13,n,n,n,
74,0.45,8.62,9.42,10.60,n,n,n,
75,0.46,7.68,8.28,9.32,n,n,n,
76,0.82,7.96,8.56,9.63,n,n,n,
77,0.31,7.35,7.95,8.94,n,n,n,
78,0.40,7.08,7.67,8.63,n,n,n,
79,0.53,7.08,7.67,8.63,n,n,n,
80,0.36,6.80,7.40,8.32,n,n,n,
81,0.51,6.19,7.19,8.09,n,n,n,
82,0.36,5.89,6.88,7.74,n,n,n,
83,0.39,5.89,6.88,7.74,n,n,n,
84,0.45,5.58,6.58,7.40,n,n,n,
85,0.38,5.75,6.35,7.14,n,n,n,
86,0.44,6.16,6.76,7.61,n,n,n,
87,0.34,5.28,5.68,6.39,n,n,n,
88,0.28,5.28,5.68,6.39,n,n,n,
89,0.40,4.92,5.32,5.98,n,n,n,
90,0.33,4.92,5.32,5.98,n,n,n,
91,0.40,4.75,5.15,5.80,n,n,n,
92,0.34,4.03,4.23,4.76,n,n,n,
93,0.42,4.48,4.68,5.26,n,n,n,
94,0.43,4.20,4.40,4.95,n,n,n,
95,0.59,4.51,4.90,5.51,n,n,n,
96,0.41,5.11,5.51,6.20,n,n,n,
97,0.47,5.09,5.28,5.94,n,n,n,
98,0.33,4.95,5.15,5.79,n,n,n,
99,0.47,4.98,5.37,6.04,n,n,n,
100,0.43,5.25,5.65,6.36,n,n,n,
101,0.49,5.11,5.51,6.20,n,n,n,
102,0.52,5.39,5.79,6.51,n,n,n,
103,0.27,4.92,5.52,6.21,n,n,n,
104,0.48,4.84,5.43,6.11,n,n,n,
105,0.54,5.00,5.60,6.30,n,n,n,
106,0.38,4.45,4.85,5.45,n,n,n,
107,0.51,4.45,5.05,5.68,n,n,n,
108,0.49,4.62,4.82,5.42,n,n,n,
109,0.54,4.89,5.09,5.73,n,n,n,
110,0.41,5.20,5.59,6.29,n,n,n,
111,0.61,4.59,4.99,5.61,n,n,n,
112,0.41,4.45,5.25,5.90,n,n,n,
113,0.45,4.42,5.22,5.38,n,n,n,
114,0.43,3.34,4.74,5.33,n,n,n,
115,0.28,3.23,4.63,5.21,n,n,n,
116,0.28,3.23,4.63,5.21,n,n,n,
117,0.38,3.07,4.26,4.79,n,n,n,
118,0.49,2.65,3.85,4.33,n,n,n,
119,0.38,3.10,4.49,5.05,n,n,n,
120,0.59,2.96,4.35,4.89,n,n,n,
121,0.40,3.26,4.65,4.58,n,n,n,
122,0.57,2.96,4.35,4.89,n,n,n,
123,0.42,2.96,4.35,4.89,n,n,n,
124,0.33,2.49,3.68,4.14,n,n,n,
125,0.56,2.93,4.32,4.86,n,n,n,
126,0.37,2.63,4.02,4.52,n,n,n,
127,0.54,2.49,4.08,4.59,n,n,n,
128,0.64,2.76,4.36,4.90,n,n,n,
129,0.45,2.18,3.58,4.02,n,n,n,
130,0.45,2.38,3.57,4.02,n,n,n,
131,0.53,2.38,3.17,3.57,n,n,n,
132,0.51,2.49,2.49,2.80,n,n,n,
133,0.37,2.32,2.32,2.61,n,n,n,
134,0.43,2.32,2.52,2.84,n,n,n,
135,0.44,2.65,2.85,3.21,n,n,n,
136,0.36,2.65,2.85,3.21,n,n,n,
137,0.44,2.38,2.58,2.90,n,n,n,
138,0.37,2.21,2.61,2.94,n,n,n,
139,0.10,2.54,2.94,3.31,n,n,n,
140,0.37,2.27,2.66,3.00,n,n,n,
141,0.57,1.96,2.76,3.10,n,n,n,
142,0.49,2.54,3.54,3.98,n,n,n,
143,0.43,1.96,2.56,2.88,n,n,n,
144,0.37,2.27,3.06,3.44,n,n,n,
145,0.40,2.27,3.06,3.44,n,n,n,
146,0.57,2.29,3.09,3.48,n,n,n,
147,0.33,2.27,3.06,3.44,n,n,n,
148,0.58,1.96,2.56,2.88,n,n,n,
149,0.39,2.29,2.89,3.25,n,n,n,
150,0.60,2.16,2.75,3.10,n,n,n,
151,0.41,2.29,2.89,3.25,n,n,n,
152,0.50,2.29,2.69,3.03,n,n,n,
153,0.54,2.13,2.73,3.07,n,n,n,
154,0.37,2.43,3.23,3.29,n,n,n,
155,0.49,2.43,3.43,3.85,n,n,n,
156,0.25,2.60,3.59,4.04,n,n,n,
157,0.46,2.27,3.26,3.67,n,n,n,
158,0.53,2.27,3.46,3.89,n,n,n,
159,0.56,2.40,3.20,3.60,n,n,n,
160,0.60,1.96,2.76,3.10,n,n,n,
161,0.46,1.66,2.26,2.54,n,n,n,
162,0.50,2.24,2.84,3.76,n,n,n,
163,0.81,2.54,3.54,3.98,n,n,n,
164,0.36,2.40,3.40,3.82,n,n,n,
165,0.52,2.27,3.26,3.67,n,n,n,
166,0.63,2.21,3.21,3.61,n,n,n,
167,0.61,1.74,2.54,2.85,n,n,n,
168,0.57,1.91,2.70,3.04,n,n,n,
169,0.31,1.91,2.70,3.04,n,n,n,
170,0.71,1.77,2.56,2.88,n,n,n,
171,0.27,2.05,2.64,2.97,n,n,n,
172,0.59,2.05,2.24,2.52,n,n,n,
173,0.50,2.63,2.82,3.18,n,n,n,
174,0.36,2.46,2.66,2.99,n,n,n,
175,0.59,2.76,3.16,3.56,n,n,n,
176,0.68,2.76,3.16,3.56,n,n,n,
177,0.42,2.46,2.66,2.99,n,n,n,
178,0.63,2.60,2.80,3.15,n,n,n,
179,0.54,3.37,3.57,4.02,n,n,n,
180,0.62,3.07,3.07,3.45,n,n,n,
181,0.50,3.21,3.21,3.61,n,n,n,
182,0.37,3.37,3.37,3.79,n,n,n,
183,0.25,3.37,3.37,3.79,n,n,n,
184,0.64,4.37,4.57,5.14,n,n,n,
185,0.41,4.20,4.40,4.95,n,n,n,
186,0.46,4.20,4.40,4.95,n,n,n,
187,0.51,4.51,5.10,5.74,n,n,n,
188,0.50,4.37,5.36,6.03,n,n,n,
189,0.60,4.23,5.22,5.88,n,n,n,
190,0.50,3.93,4.72,5.31,n,n,n,
191,0.46,3.48,4.28,4.81,n,n,n,
192,0.52,3.51,4.31,4.84,n,n,n,
193,0.37,3.65,4.44,5.00,n,n,n,
194,0.39,3.65,4.44,5.00,n,n,n,
195,0.59,3.34,3.94,4.43,n,n,n,
196,0.44,3.18,3.97,4.47,n,n,n,
197,0.46,3.04,3.84,4.32,n,n,n,
198,0.48,2.93,3.73,4.19,n,n,n,
199,0.41,2.79,3.59,4.03,n,n,n,
200,0.55,2.96,3.75,4.22,n,n,n,
201,0.64,3.10,3.89,4.38,n,n,n,
202,0.50,2.13,2.92,3.29,n,n,n,
203,0.36,2.74,3.53,3.97,n,n,n,
204,0.43,2.29,2.89,3.25,n,n,n,
205,0.48,2.29,2.89,3.25,n,n,n,
206,0.46,2.46,2.66,2.99,n,n,n,
207,0.27,3.18,3.97,4.47,n,n,n,
208,0.55,2.87,3.47,3.90,n,n,n,
209,0.76,3.01,3.61,4.06,n,n,n,
210,0.28,3.15,3.75,4.22,n,n,n,
211,0.52,3.62,4.42,4.40,n,n,n,
212,0.53,3.04,3.64,4.09,n,n,n,
213,0.40,3.32,3.91,4.40,n,n,n,
214,0.26,3.45,4.25,4.78,n,n,n,
215,0.40,3.34,4.14,4.66,n,n,n,
216,0.19,2.85,3.24,3.65,n,n,n,
217,0.38,2.38,2.97,3.35,n,n,n,
218,0.29,2.07,2.67,3.00,n,n,n,
219,0.53,1.93,2.33,2.62,n,n,n,
220,0.43,2.35,2.95,3.31,n,n,n,
221,0.67,2.35,2.95,3.31,n,n,n,
222,0.54,2.35,2.95,3.31,n,n,n,
223,0.50,2.35,2.95,3.31,n,n,n,
224,0.33,2.21,3.01,3.38,n,n,n,
225,0.34,1.49,1.89,2.13,n,n,n,
226,0.46,1.49,1.89,2.13,n,n,n,
227,0.11,1.19,1.59,1.78,n,n,n,
228,0.42,1.05,1.65,1.85,n,n,n,
229,0.46,1.35,1.95,2.19,n,n,n,
230,0.51,1.35,1.95,2.19,n,n,n,
231,0.46,1.38,1.98,2.23,n,n,n,
232,0.49,1.38,1.98,2.23,n,n,n,
233,0.56,1.55,2.14,2.41,n,n,n,
234,0.55,1.24,1.64,1.85,n,n,n,
235,0.45,1.24,1.24,1.40,n,n,n,
236,0.41,1.41,1.41,1.59,n,n,n,
237,0.55,1.60,1.80,2.03,n,n,n,
238,0.32,1.30,1.30,1.46,n,n,n,
239,0.44,1.30,1.50,1.68,n,n,n,
240,0.41,1.13,1.33,1.50,n,n,n,
